kinase,SK6.AT13148,JAK2.AZD1480,AKT.AZD5363,CDK.AZD5438,PI3k.AZD6482,mTOR.AZD8055,CK2.CX4945,BRAF.Dabrafenib,TKI.Dasatinib,ERK.GDC0994,AKT.GSK690693,cMET.JNJ38877605,CDK.LEE011,SK6.LY2584702,CDK.LY2835219,AKT.MK2206,TKI.MP470,PAK.PF3758309,P38.PH797804,ROCK.Ripasudil,JAK2.Tofacitinib,MEK.Trametinib,ERK.Ulixertinib,BRAF.Vemurafenib,AKT.AZD5363,AKT.GDC0068,CDK12.AZD5438,CDK46.LY2835219,CK2.CX4945,EGFR.AZD3759,ERK.GDC0994,GSK3.LY2090314,JAK2.AZD1480,JNK.JNKIN8,MEK.Trametinib,mTOR.AZD8055,p70S6K.LY2584702,PAK.PF3758309,PDK1.GSK2334470,PI3K.GDC0941,PI3K.HS173,PKC.GF109203X,PKC.Go6976,PKC.Go6983,TKI.MP470,p110?.AZD6482,p110?.CAL101,p110?/?.GDC0941,p110?.HS173,p110?.PIK294,p110?.TGX221,CDK129.AZD5438,PAK.FRAX486,mTORC12.Ku0063794,mTORC12.Torin1,PDK1.BX912,GSK3AB.CHIR99021,GSK3AB.LY2090314,MEK1.AZD6244,ROCK2.KD025,ROCK12.Ripasudil
STK4,1,0.013526543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.067891032,1,1,1,1,1,1,1,1,1,1,0.71,0.969834087,1,1,0.23,1,0.96,0.89,0.92,1,0.118257261,0.96,0.85,0.91,0.48,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
STK16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00777126,1,1,0.08559694,1,1,1,1,1,1,0.823834197,1,0.248120301,0.055,0.83,1,0.73973974,0.78,0.12,0.91,0.93,0.95,0.96,0.38,0.813278008,0.98,0.86,0.03,0.86,0.809619238,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YES1,1,1,1,1,1,1,1,1,4.29E-05,1,1,1,1,1,1,1,1,0.087347357,1,1,1,1,1,1,0.875647668,1,0.939849624,0.86,0.83,0.728506787,0.88988989,0.97,0.61,0.89,0.85,0.87,0.89,0.51,0.834024896,0.93,0.88,0.83,0.75,0.889779559,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKCI,1,1,1,1,1,1,1,1,1,1,0.031136674,1,1,1,1,1,1,0.430522086,1,1,1,1,1,1,0.772020725,1,0.879699248,0.86,0.86,0.969834087,0.91991992,0.95,0.82,1,0.99,0.93,0.93,0.54,0.802904564,1,1,0.79,0.85,0.809619238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS6KA5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47090682,1,1,1,1,1,1,1,1,0.989974937,0.64,0.9,0.979889392,0.98998999,0.98,0.35,0.85,0.95,0.88,1,0.91,0.68879668,0.93,0.49,0.73,0.88,0.919839679,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKCE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875647668,1,0.84962406,0.17,0.89,0.688285571,0.84984985,1,0.96,1,1,1,0.87,0,0.937759336,0.97,1,0,0.83,0.012024048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GRK1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.616580311,1,0.869674185,0.78,0.41,0.698340875,0.73973974,1,0.45,1,1,0.97,0.93,0.0085,0.813278008,0.97,0.91,0.51,0.7,0.789579158,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAK7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.896373057,1,0.919799499,0.93,0.86,0.959778783,0.82982983,0.83,0.48,0.85,0.96,0.78,1,0.016,0.68879668,0.97,0.72,0.93,0.9,1,0.78,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
GRK7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.544041451,1,0.919799499,0.72,0.14,1,1,1,0.27,0.96,0.77,0.78,1,0.059,0.94813278,1,0.9,0.35,0.55,0.759519038,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NTRK1.2.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.658031088,1,0.679197995,0.5,0.55,0.688285571,0.78978979,1,0.005,1,1,1,1,0.065,0.968879668,0.97,0.99,0.74,0.062,0.749498998,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS6KA2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.886010363,0.62,0.789473684,0.72,0.84,0.849170437,1,0.87,0.87,0.88,0.72,0.98,0.93,0.066,0.802904564,0.93,0.96,0.34,0.82,0.619238477,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CLK2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.316062176,1,0.649122807,0.05,0.065,0.808949221,0.85985986,0.7,0.75,0.84,0.88,0.85,1,0.072,0.7406639,0.9,0.73,0.33,0.64,0.408817635,0.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAK1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.865284974,1,0.829573935,0.73,0.92,0.979889392,0.93993994,0.91,0.81,0.86,0.81,0.99,1,0.086,0.79253112,1,0.97,0.75,0.84,0.769539078,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
LATS2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.077720207,1,0.739348371,0.63,0.82,0.869281046,0.75975976,1,0.8,0.98,0.9,0.48,0.7,0.21,0.751037344,1,0.97,0.59,0.49,0.639278557,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
